G5f	120	f6f2	鍵
G61	292	f6df	ギター（エレキ）
G63	146	f685	ゴハン１
G64	12	f69a	ワイングラス
G65	93	f7b4	カップ
G66	239	f6a9	ケーキ
G67	65	f69c	マグカップ
G68	191	f65d	ゆきだるま
G69	107	f665	くもり
G6a	44	f660	太陽
G6b	95	f664	雨
G6c	15	f65e	月１
G6d	167	f666	ときどき曇り
G6f	251	f6b4	猫
G72	74	f6b8	犬（プードル）
G74	246	f648	くじら
G75	252	f6b5	ペンギン
G76	257	f649	顔１（うれしいカオ）
G77	257	f649	顔１（うれしいカオ）
G78	259	f64b	顔３（かなしいカオ）
G79	258	f64a	顔２（おこったカオ）
G7a	283	f6ce	ウンチマーク
O21	149	f679	エンピツ
O24	113	f6bd	花
O25	256	f6bc	ひまわり
O27	255	f6bb	やしのき
O29	207	f67d	トイレ
O2a	291	f6de	メロディ
O2c	65	f69c	マグカップ
O2e	176	f655	喫煙
O31	268	f652	爆弾
O32	230	f647	くす玉（アタリのくす玉）
O33	104	f6ef	はさみ
O34	312	f7bc	リボン
O35	279	f6ca	丸秘
O37	13	f6ea	スピーカ
O39	301	f6e6	婦人服
O3a	124	f6f3	くつ
O3b	124	f6f3	くつ
O3c	295	f6e2	口紅
O3d	295	f6e2	口紅
O43	83	f674	ブリーフケース(ハンドバック）
O45	48	f6eb	ベル
O46	291	f6de	メロディ
O47	266	f650	ハート３（大きい＆小さい）
O48	266	f650	ハート３（大きい＆小さい）
O49	272	f6c3	ハート５（矢がささっている）
O4a	51	f7b2	ハート
O4b	51	f7b2	ハート
O4c	51	f7b2	ハート
O4d	51	f7b2	ハート
O4e	267	f651	スパーク２（キラリマーク）
O4f	69	f663	星２
O50	282	f6cd	ダッシュ
O51	330	f7ce	あせあせ（飛び散る汗）
O54	262	f6be	怒り（ムカッ）
O55	69	f663	星２
O56	3	f65b	？
O57	2	f65a	！
O60	333	f7d1	ラーメン
O62	244	f6ae	おにぎり
O67	243	f6ad	イチゴ
O68	238	f6a6	スイカ
O6b	239	f6a9	ケーキ
P26	260	f64c	顔４（つかれたカオ）
P27	327	f7cb	ふらふら
P29	264	f6c0	からかう（あっかんべえ）
P2b	260	f64c	顔４（つかれたカオ）
P2f	260	f64c	顔４（つかれたカオ）
P30	327	f7cb	ふらふら
P31	259	f64b	顔３（かなしいカオ）
P33	259	f64b	顔３（かなしいカオ）
P34	257	f649	顔１（うれしいカオ）
P35	257	f649	顔１（うれしいカオ）
P36	258	f64a	顔２（おこったカオ）
P39	317	f7c1	目
P3b	318	f7c2	耳
P3c	273	f6c4	キスマーク
P3e	320	f7c4	手（パー）
P40	287	f6d2	おやゆびサイン
P4a	307	f7b7	バスケットボール
P4b	96	f694	フットボール
P4e	125	f68a	車
P4f	148	f68b	トラック
P53	223	f645	遊園地
P54	172	f68e	電車
P55	217	f689	新幹線
P6b	227	f698	夜の橋
Q27	111	f79b	ハンディカム
Q28	156	f686	工場・建物
Q29	228	f699	東京タワー
Q2b	237	f6a5	旗（祝日・日の丸）
Q2c	90	f790	ＵＳＡ 
Q41	78	f6b9	鳥
Q42	242	f6ac	ふぐ
Q43	78	f6b9	鳥
Q48	249	f6b2	さる
Q4c	247	f6b0	うさぎ
Q51	250	f6b3	かえる
Q56	276	f6c7	足跡（犬）
Q57	54	f76a	トレードマーク（TM） 
