# e2t.dat 最終更新 2004/11/22
# 1-334
f69f	ｹﾞｰﾑのｺﾝﾄﾛｰﾗ
f6a0	賞金
f6a2	ｸﾘｽﾏｽﾂﾘｰ
f6a3	桜
f6a4	お化け
f6a5	日の丸
f6a6	ｽｲｶ
f6a9	ｹｰｷ
f6aa	目玉焼
f6ab	さくらんぼ
f6ac	ふぐ
f6ad	苺
f6ae	おにぎり
f6af	ﾊﾝﾊﾞｰｶﾞｰ
f648	ｸｼﾞﾗ
f6b0	ｳｻｷﾞ
f6b1	馬
f6b2	猿
f6b3	ｶｴﾙ
f6b4	猫
f6b5	ﾍﾟﾝｷﾞﾝ
f6b6	ｱﾘ
f6b7	ﾌﾞﾀ
f6bb	ﾔｼの木
f6bc	ひまわり
f649	わ～い
f64a	むかっ
f64b	泣
f64c	疲れた
f64d	ZZZ
f6be	むかっ
f6bf	汗
f6c0	あっかんべー
f64f	割れﾊｰﾄ
f650	ﾊｰﾄたち
f651	ｽﾊﾟｰｸ
f652	爆弾
f653	炎
f6c1	SOS
f6c2	力こぶ
f6c3	ﾊｰﾄに矢
f6c4	ｷｽﾏｰｸ
f6c5	宇宙人
f6c6	なると
f6c7	犬の足跡
f6c8	悪魔
f6c9	花丸
f6ca	秘
f6cb	100点満点
f6cc	ﾊﾟﾝﾁ
f6cd	ﾀﾞｯｼｭ
f6ce	ｳﾝﾁ
f6cf	人差し指ｻｲﾝ
f6d0	得
f6d1	どくろ
f6d2	親指ｻｲﾝ
f6db	TV
f6dc	ﾏｲｸ
f6dd	財布
f6de	ﾒﾛﾃﾞｨ
f6df	ｴﾚｷｷﾞﾀｰ
f6e0	ﾊﾞｲｵﾘﾝ
f6e1	ﾍｯﾄﾞﾌｫﾝ
f6e2	口紅
f6e3	ﾋﾟｽﾄﾙ
f6e4	ｴｽﾃ
f794	EZﾏｰｸ
f795	Free
f6e5	CD/DVD
f6e6	婦人服
f6e7	UFO
f6e8	UP!
f6e9	注射
f7b5	霧
f7b6	ｺﾞﾙﾌ
f7b7	ﾊﾞｽｹ
f7b8	ﾎﾟｹﾍﾞﾙ
f7b9	ｱｰﾄ
f7ba	演劇
f7bb	ｲﾍﾞﾝﾄ
f7bc	ﾘﾎﾞﾝ
f7bd	ﾊﾞｰｽﾃﾞｰ
f7be	ｽﾍﾟｰﾄﾞ
f7bf	ﾀﾞｲﾔ
f7c0	ｸﾗﾌﾞ
f7c1	目
f7c2	耳
f7c3	ﾁｮｷ
f7c4	ﾊﾟｰ
f7c5	新月
f7c6	やや欠け月
f7c7	半月
f7c8	ｸﾘｱ
f7c9	０
f7ca	決定
f7cb	ふらふら
f7cc	かわいい
f7cd	どんっ
f7ce	飛び散る汗
f7cf	ｲｰｼﾞｰﾌﾟﾗｽ
f7d0	地球
f7d1	ﾗｰﾒﾝ
f7e5	NEW
# 335-518
f7e6	紳士服
f7e7	紳士靴
f7e8	ﾊﾟｿｺﾝ
f7e9	ﾗｼﾞｵ
f7ea	ﾊﾞﾗ
f7eb	ﾁｬﾍﾟﾙ
f7ec	地下鉄
f7ed	富士山
f7ee	♪
f7ef	天使
f7f0	ﾄﾗ
f7f1	ｸﾏ
f7f2	ﾈｽﾞﾐ
f7f3	ｳｲﾝｸ
f7f4	目がﾊｰﾄ
f7f5	ｼｮｯｸ
f7f6	困り
f7f7	たこ
f7f8	ﾛｹｯﾄ
f7f9	王冠
f7fa	ｷｽ
f7fb	ﾊﾝﾏｰ
f7fc	打上花火
f340	枯葉
f341	仕事ｶﾊﾞﾝ
f342	噴水
f343	ｷｬﾝﾌﾟ
f344	麻雀
f345	VS
f346	ﾄﾛﾌｨｰ
f347	ｶﾒ
f348	ｽﾍﾟｲﾝ国旗
f349	ﾛｼｱ国旗
f34a	工事中
f34b	風呂
f34c	祝日
f34d	夕方
f34e	卵割り
f34f	株価
f350	警察
f351	郵便局
f352	病院
f353	学校
f354	ﾎﾃﾙ
f355	船
f356	18禁
f357	圏内
f358	COOL!
f359	割
f35a	サ
f35b	ID
f35c	満
f35d	空
f35e	指定
f35f	営業中
f360	指差し-上
f361	指差し-下
f362	占い
f363	ﾏﾅｰﾓｰﾄﾞ
f364	電源OFF
f365	ﾒﾓする
f366	ﾈｸﾀｲ
